"compet" "K" "fs" "fa" "probamating" "G" "b" "pmut" "mean_dist" "c" "run" "max.X.sex" "max.X.sex.t" "mix" "max.nb.sex" "max.nb.sex.t" "nb.all.end" "nb.sex.end" "X.all.end" "X.sex.end" "end.t" "mean.X.sex" "mean.X.asex" "sd.X.sex" "sd.X.asex" "seed"
"1" "_ded_" "10" "10" "4" "1" "14" "0.9" "5e-04" "1.4" "0.5" "183" 191 928 0.997667708062137 99556 663 97427 97257 199 189 1000 99.3115456985101 97.5117647058824 57.7530934322361 59.3341992281923 24
"2" "_ded_" "10" "3" "2" "1" "6" "0.9" "5e-04" "2.5" "0.8" "392" 23 16 0.584345479082321 2986 14 10613 424 75 12 28 5.58490566037736 36.6246932966925 3.78279775514463 20.5914910591897 24
"3" "_ded_" "10" "3" "2" "1" "7" "0.4" "5e-05" "0.5" "1" "12" 10 47 0.763888888888889 1239 1 3750 153 22 4 63 1.32679738562091 12.1656936335835 1.32699732954694 6.49187150247657 24
"4" "_ded_" "10" "5" "2" "1" "11" "0.7" "5e-04" "1.1" "0.8" "135" 191 952 0.998786074209803 46613 515 45748 45690 199 189 1000 99.4533158240315 110.741379310345 57.8860738224123 50.5779094504697 24
"5" "_ded_" "11" "3" "2" "1" "7" "0.7" "5e-05" "1.6" "0.5" "220" 25 39 0.629067930489731 3584 35 13333 548 81 11 52 4.72992700729927 42.751036370747 3.57168153012202 23.4119167611399 24
"6" "_ded_" "11" "4" "2" "1" "14" "0.7" "5e-05" "1" "1.2" "123" 30 54 0.733993132700465 6232 41 33457 1512 199 13 252 6.96693121693122 101.646924401315 4.10761480405061 55.8310185985456 24
"7" "_ded_" "11" "5" "2" "1" "15" "1" "0.005" "0.9" "0.8" "95" 82 1000 0.983420284728977 23573 997 48374 23231 199 82 1000 42.9996125866299 141.126595871614 25.1689760760351 34.6259051438327 24
"8" "_ded_" "11" "8" "2" "1" "4" "1" "0.005" "2.8" "1" "463" 191 880 0.994695443179335 89128 523 87918 87478 199 190 1000 100.52025652164 98.6340909090909 58.080156395941 58.6143740803396 24
"9" "_ded_" "11" "9" "4" "1" "11" "0.2" "5e-05" "2.2" "0.8" "330" 199 400 0.0444877415164799 78725 121 80067 3562 199 199 400 150.801516002246 98.0533690608457 78.0669552413164 55.0835895146117 24
"10" "_ded_" "11" "9" "6" "1" "13" "0.9" "5e-04" "0.6" "0.5" "25" 20 15 0.638164002062919 9526 11 42545 1811 73 12 34 4.56653782440641 38.090391319291 3.53332455721339 20.9356104736021 24
"11" "_ded_" "11" "9" "7" "1" "9" "0.6" "5e-04" "0.8" "0.8" "68" 37 28 0.172397570780943 9459 22 37103 1393 54 35 34 30.6884422110553 26.3898067768132 2.81043620571218 16.2405069044109 24
"12" "_ded_" "12" "10" "7" "1" "15" "0.4" "5e-05" "1.4" "0.8" "187" 198 116 0.0736992925584311 36669 67 149134 6908 199 197 122 185.081933989577 92.7315540055967 8.06522585903316 54.4384593051319 24
"13" "_ded_" "12" "3" "2" "1" "14" "0.2" "5e-05" "3" "1.2" "499" 31 69 0.465706614596046 3457 56 8242 162 68 23 80 9.88888888888889 30.5136138613861 7.51396215915362 19.0381617607251 24
"14" "_ded_" "12" "4" "3" "1" "17" "0.6" "5e-05" "2.2" "5" "340" 117 86 0.0365043640555525 15490 52 37201 1389 122 117 86 110.154067674586 57.7696861387245 4.94414257096086 33.0208704168775 24
"15" "_ded_" "12" "4" "3" "1" "9" "0.9" "5e-04" "1.8" "1" "270" 23 15 0.393605463293497 5070 11 15492 625 48 18 20 5.6704 24.2610479585659 5.48133522943415 13.5365276410909 24
"16" "_ded_" "12" "6" "2" "1" "9" "0.3" "5e-04" "2" "0.8" "299" 191 685 0.998807098680468 59397 899 58553 58504 199 189 1000 99.1813722138657 98.265306122449 58.1570710951872 62.038219238293 24
"17" "_ded_" "12" "7" "4" "1" "4" "0.5" "5e-05" "2.3" "0.5" "343" 199 95 0.0383210678131546 66963 68 91177 3494 199 199 95 187.073268460218 92.4719957118256 11.4544023552693 55.2431280590993 24
"18" "_ded_" "12" "7" "4" "1" "5" "0.8" "5e-04" "1" "0.5" "109" 40 32 0.39541529855284 14080 24 45183 1715 112 37 44 14.0040816326531 50.4133615533266 14.6815073400621 29.9661317245839 24
"19" "_ded_" "12" "7" "5" "1" "7" "0.7" "5e-04" "2.1" "1" "316" 63 27 0.238923749762312 20519 22 65309 1629 126 58 34 46.7182320441989 61.0991206030151 7.71814880337484 36.9930258847939 24
"20" "_ded_" "13" "10" "8" "1" "13" "0.4" "5e-05" "2.6" "0.5" "416" 158 39 0.313199934478805 74237 32 188827 8315 199 150 48 50.8515935057126 104.794866823258 55.2582243427688 54.342721529748 24
"21" "_ded_" "13" "3" "2" "1" "3" "0.9" "5e-04" "2.1" "5" "321" 44 47 0.0410293982965473 6088 30 13156 469 60 44 47 38.8955223880597 26.2210924568456 3.66779720246471 16.5432488378454 24
"22" "_ded_" "13" "4" "2" "1" "11" "0.9" "5e-05" "0.8" "1.2" "76" 199 493 0.0442807335473831 28472 334 50767 2248 199 199 493 189.936832740214 94.86234258744 9.56715728694951 55.123306045739 24
"23" "_ded_" "13" "4" "2" "1" "8" "0.6" "5e-04" "2.7" "0.5" "437" 46 28 0.712277126846663 10432 23 45698 1952 199 26 83 12.1967213114754 101.813400082293 8.05027956244489 56.126074911256 24
"24" "_ded_" "13" "5" "2" "1" "7" "0.2" "0.005" "1.4" "0.5" "181" 33 34 0.707174231332357 7800 26 43801 1845 183 18 71 8.1869918699187 92.8003622842978 5.59896604012567 50.6903460889394 24
"25" "_ded_" "13" "5" "2" "1" "9" "0.3" "5e-04" "0.5" "0.5" "1" 55 198 0.505909651221811 14682 169 43064 1945 199 48 315 41.8123393316195 94.6348646611056 3.88746692627755 57.0910794957899 24
"26" "_ded_" "13" "6" "2" "1" "4" "0.7" "0.005" "1.1" "0.5" "132" 190 998 0.991157963796857 71303 988 69640 69049 199 189 1000 99.8230531941085 101.636209813875 57.7057410980081 59.0959114865293 24
"27" "_ded_" "13" "6" "5" "1" "5" "0.2" "0.005" "2.3" "5" "361" 23 9 0.165836779475061 5727 6 20513 925 35 18 11 8.06918918918919 18.355064325097 6.01527383944566 10.2512011746428 24
"28" "_ded_" "13" "7" "4" "1" "8" "0.9" "5e-04" "2.2" "0.5" "324" 50 24 0.551254290995511 20480 14 99062 4556 199 27 46 12.634328358209 102.467420057986 8.2455029295291 54.8264440590871 24
"29" "_ded_" "13" "8" "5" "1" "14" "0.6" "0.005" "1.6" "1" "233" 27 12 0.456374338722897 11724 9 42277 1161 73 21 22 11.1860465116279 36.5189220741317 6.42984782583165 20.3922666813171 24
"30" "_ded_" "14" "3" "2" "1" "15" "0.8" "5e-05" "2.3" "0.8" "347" 29 24 0.40922911822572 4989 20 16427 634 82 18 38 9.0583596214511 41.4405749382638 5.39569202304884 23.3693750439112 24
"31" "_ded_" "14" "3" "2" "1" "3" "0.5" "5e-05" "0.9" "0.5" "86" 20 51 0.0528136951374977 2677 32 6585 295 25 20 51 16.7966101694915 11.7114467408585 2.07331327245705 7.58438273545864 24
"32" "_ded_" "14" "3" "2" "1" "4" "0.3" "5e-04" "1.3" "5" "175" 15 22 0.0238154926046628 1748 1 4779 100 20 15 22 11.96 8.92477025005343 1.94842593812637 5.80522385545768 24
"33" "_ded_" "14" "3" "2" "1" "5" "0.4" "5e-05" "3" "0.8" "492" 54 71 0.424014743407995 8341 64 25287 995 99 14 78 5.97788944723618 49.8208052033591 4.54549034347395 25.9697598919209 24
"34" "_ded_" "14" "4" "2" "1" "16" "0.9" "0.005" "2.8" "1" "457" 52 26 0.747094684701848 13444 24 54764 2463 199 20 80 9.06739748274462 103.556203514273 5.90043342037512 55.2911746749545 24
"35" "_ded_" "14" "5" "2" "1" "17" "0.3" "0.005" "1.2" "1" "152" 48 127 0.936094128503864 14374 104 53825 2402 199 12 488 5.7135720233139 104.066935029073 3.71411400993792 55.0603166899016 24
"36" "_ded_" "15" "10" "2" "1" "19" "0.8" "0.005" "1.9" "1.2" "290" 191 406 0.995802245724372 144117 948 140515 139952 199 189 1000 99.4271535955185 98.5150976909414 57.6556411442564 56.1507031304649 24
"37" "_ded_" "15" "4" "3" "1" "14" "0.2" "5e-05" "1.7" "1.2" "252" 39 37 0.690778916183187 9219 36 27450 1292 101 16 60 6.93962848297214 51.1252389326401 5.30256438127454 28.2273860621236 24
"38" "_ded_" "15" "6" "2" "1" "9" "0.4" "5e-04" "1.2" "1" "153" 191 798 0.999038340929046 76417 444 74836 74785 199 189 1000 99.1433175101959 100.960784313725 57.4913415932399 52.8208143762717 24
"39" "_ded_" "15" "7" "2" "1" "14" "0.9" "5e-05" "0.6" "5" "40" 190 1000 0.999938695438941 104440 897 102528 102521 199 190 1000 99.8226412149706 123.428571428571 57.3862167974026 72.2907489306369 24
"40" "_ded_" "15" "7" "4" "1" "8" "0.3" "5e-04" "0.9" "0.8" "94" 24 21 0.426949136367974 10185 16 28097 1105 52 17 30 9.3131221719457 26.6020672791938 5.46129826502723 14.8738720621554 24
"41" "_ded_" "15" "9" "4" "1" "9" "0.8" "5e-05" "2.7" "0.8" "440" 191 406 0.999776894537221 130309 405 126044 126029 199 189 1000 99.6906108911441 134.266666666667 57.5744536192533 44.2677997560088 24
"42" "_ded_" "15" "9" "7" "1" "20" "0.5" "0.005" "1.3" "0.8" "165" 24 10 0.379541049209029 12216 7 49738 1644 57 14 17 4.38929440389294 29.0059051025076 4.28353381550501 15.6173005136031 24
"43" "_ded_" "16" "7" "2" "1" "9" "0.2" "5e-05" "1.4" "0.5" "178" 191 479 0.999963992078257 89313 401 87972 87970 199 189 1000 99.8043878594976 53.5 57.748501897127 68.5893577750951 24
"44" "_ded_" "16" "9" "2" "1" "16" "0.5" "0.005" "2.4" "0.8" "368" 190 998 0.995549174443647 126560 186 126614 126050 199 189 1000 99.3397381991273 95.2801418439716 57.8078561550033 57.1143525523612 24
"45" "_ded_" "17" "3" "2" "1" "12" "1" "5e-04" "1" "1" "119" 21 28 0.238263665594855 4640 19 11672 504 37 17 33 4.66666666666667 18.1849928366762 5.45613266864114 10.4192915976014 24
"46" "_ded_" "17" "4" "2" "1" "5" "1" "5e-05" "2.8" "0.8" "456" 191 567 0.705299275638582 65550 270 67966 3168 199 21 741 9.94444444444444 103.835519614803 6.47157985527851 55.4186912275775 24
"47" "_ded_" "17" "5" "2" "1" "6" "0.6" "5e-04" "3" "1" "498" 190 1000 0.998486080349884 76532 637 74843 74717 199 190 1000 99.3413145602741 110.190476190476 57.9084981370353 58.4370723819343 24
"48" "_ded_" "17" "6" "2" "1" "3" "0.4" "5e-04" "2.4" "5" "381" 191 794 0.998995712464753 83125 495 81327 81235 199 189 1000 99.9193943497261 86.5434782608696 57.4202204536317 62.2247632843286 24
"49" "_ded_" "17" "6" "3" "1" "14" "0.3" "5e-04" "0.9" "1" "98" 63 91 0.114964370546318 20900 48 49481 2286 116 62 98 55.5223097112861 53.4172687784723 3.97147169171944 33.2954752289211 24
"50" "_ded_" "17" "8" "3" "1" "8" "0.9" "5e-05" "1.4" "0.5" "184" 190 999 0.999968343661214 135164 879 131847 131837 199 189 1000 99.1197008427073 81.9 57.8478327144352 56.57924629324 24
"51" "_ded_" "17" "9" "4" "1" "7" "0.2" "5e-04" "0.8" "1.2" "79" 106 186 0.0766092540186459 44580 82 116412 5461 199 106 186 99.2953671488738 90.9900676875377 4.43174885871016 57.7216847396248 24
"52" "_ded_" "18" "3" "2" "1" "10" "0.9" "0.005" "0.8" "0.5" "63" 15 19 0.167159138877163 3247 12 9480 313 29 13 23 6.47603833865815 14.053998036435 3.90597433900774 8.36301531738249 24
"53" "_ded_" "18" "3" "2" "1" "17" "0.9" "5e-04" "2.3" "1" "356" 35 26 0.374336903212892 7987 21 24689 1003 81 28 35 16.7497507477567 38.5396014523347 7.4930564956094 22.6795394476202 24
"54" "_ded_" "18" "4" "2" "1" "6" "0.8" "5e-05" "2.4" "5" "378" 192 251 0.439404947240962 66645 117 70859 3281 199 23 311 11.1554404145078 104.041611175235 7.17606806422419 55.3737297980684 24
"55" "_ded_" "18" "5" "2" "1" "14" "1" "5e-05" "2.4" "0.5" "364" 190 1000 0.999918028947492 91893 375 89601 89594 199 190 1000 99.9971538272652 101.428571428571 58.0130847405883 43.8210647324516 24
"56" "_ded_" "18" "6" "2" "1" "17" "0.3" "5e-05" "2" "0.5" "294" 191 440 0.999892724325355 89968 222 86977 86972 199 189 1000 99.5703214827761 128.6 57.3297813646705 66.180057419135 24
"57" "_ded_" "18" "6" "4" "1" "20" "0.9" "0.005" "2.6" "0.5" "414" 41 12 0.39074919668527 18388 9 102553 3173 158 33 19 16.3520327765522 77.3041155162004 9.78810462965348 43.098386414437 24
"58" "_ded_" "18" "9" "7" "1" "18" "0.5" "5e-04" "1.5" "0.5" "202" 48 25 0.079887476885549 28299 12 119949 4261 129 48 25 23.0957521708519 61.6465925592974 18.7663476972845 36.5194320389176 24
"59" "_ded_" "19" "10" "2" "1" "5" "0.4" "5e-05" "2.5" "5" "413" 190 999 0.999911617535081 158693 753 156252 156243 199 189 1000 99.3940912552882 53.3333333333333 57.3422498222852 58.8939725269064 24
"60" "_ded_" "19" "10" "5" "1" "14" "0.8" "5e-04" "1.9" "0.8" "281" 111 57 0.823743936144592 100511 53 184621 8283 199 27 183 12.7598696124593 103.62798716102 8.30757867237086 55.6787265214018 24
"61" "_ded_" "19" "3" "2" "1" "17" "0.5" "5e-05" "2.6" "5" "431" 65 59 0.039443580122632 9762 35 24109 903 77 65 59 54.734219269103 35.0321037662673 6.67276064437023 21.1431124420226 24
"62" "_ded_" "19" "4" "2" "1" "2" "0.9" "5e-04" "1.3" "1" "169" 39 37 0.741104397448808 13975 35 56611 2690 151 17 94 7.31263940520446 78.3268670833256 5.10346903143218 41.5113146349715 24
"63" "_ded_" "19" "5" "2" "1" "6" "0.4" "0.005" "3" "0.8" "489" 89 38 0.859614480488952 34418 39 75989 3520 198 18 333 8.27954545454545 104.349059597897 5.47823530225919 55.3353750179968 24
"64" "_ded_" "19" "8" "4" "1" "4" "0.8" "5e-04" "2.3" "1.2" "360" 79 39 0.711100339311682 54221 36 148283 6835 199 33 123 16.3941477688369 103.799502290594 10.1546871609163 55.820062726403 24
"65" "_ded_" "19" "8" "6" "1" "3" "0.4" "5e-04" "0.7" "1" "52" 19 20 0.0783064433254547 9982 9 33120 1543 34 19 20 8.47634478289047 17.1334515628464 7.33587769434696 10.0110333658549 24
"66" "_ded_" "20" "4" "2" "1" "3" "0.4" "0.005" "2.9" "0.8" "477" 41 21 0.376619440866732 10322 14 39697 1473 108 29 30 12.3292600135777 53.1705211385517 8.89771697992049 29.451889967399 24
"67" "_ded_" "20" "7" "2" "1" "18" "0.9" "0.005" "1.6" "1.2" "234" 190 1000 0.994363554604518 137311 639 135114 134350 199 190 1000 99.742657238556 100.913612565445 57.4135482809964 58.8526860993883 24
"68" "_ded_" "21" "3" "2" "1" "11" "0.3" "5e-05" "1.7" "1" "249" 27 43 0.177686889343331 5978 32 14727 653 52 25 46 12.8943338437979 22.9783998863152 8.04394649456321 14.2299921398321 24
"69" "_ded_" "21" "3" "2" "1" "12" "0.5" "0.005" "0.8" "0.5" "64" 14 18 0.185562721031829 3074 11 8531 347 25 12 22 5.2478386167147 11.8765884652981 4.12124268500144 7.01851877612516 24
"70" "_ded_" "21" "4" "2" "1" "20" "0.5" "0.005" "2" "1.2" "305" 47 33 0.524689841542808 14783 29 49386 1901 131 32 64 15.5907417148869 65.1475202695588 10.7794540691316 36.271576709433 24
"71" "_ded_" "21" "5" "2" "1" "13" "0.5" "5e-04" "2" "5" "310" 190 998 0.998437645742002 92405 974 91737 91589 199 189 1000 99.1245673607092 90.0810810810811 57.6575156423425 65.618306048078 24
"72" "_ded_" "21" "7" "3" "1" "11" "0.5" "5e-05" "2.7" "5" "448" 190 1000 0.999827546562428 129490 898 127419 127398 199 190 1000 99.3043140394669 109.666666666667 57.8314395812873 55.8223372256423 24
"73" "_ded_" "21" "9" "5" "1" "19" "0.3" "5e-04" "2.5" "1" "395" 144 81 0.0594575109064291 84983 35 181664 8468 199 144 81 127.215044874823 93.8102727545671 10.409198420123 58.2653986944559 24
"74" "_ded_" "21" "9" "5" "1" "20" "0.7" "0.005" "1.5" "0.5" "204" 44 22 0.437411304790211 33778 13 180547 6795 193 34 36 16.7582045621781 96.7478820387679 10.8920204653153 53.4087205031104 24
"75" "_ded_" "22" "5" "2" "1" "11" "1" "5e-04" "1" "0.5" "110" 190 1000 0.998443735797896 111938 666 109919 109750 199 190 1000 99.2793712984055 84.3195266272189 57.9832973561796 55.3000874860525 24
"76" "_ded_" "22" "6" "2" "1" "19" "0.2" "5e-05" "0.7" "0.5" "43" 190 998 0.999969412412443 105811 813 103804 103799 199 189 1000 98.7702964383086 184.6 57.7536984408512 21.1258135938004 24
"77" "_ded_" "22" "6" "3" "1" "14" "0.5" "5e-04" "1.3" "1" "171" 45 46 0.554156066230137 23479 41 88744 4201 160 18 77 7.54915496310402 76.1263853896833 5.42345214916791 42.3256581708523 24
"78" "_ded_" "22" "6" "5" "1" "10" "0.4" "5e-04" "2.6" "1.2" "430" 73 26 0.0934730643656716 22058 14 92513 4364 96 72 28 57.4342346471127 45.4238391813861 8.88315324042907 28.2365762388973 24
"79" "_ded_" "22" "6" "5" "1" "14" "0.3" "5e-04" "2.4" "1.2" "373" 71 28 0.0500718875619847 22073 15 83411 3529 92 71 28 57.3253046188722 41.9529180541298 7.88624750716075 26.1569153971157 24
"80" "_ded_" "22" "8" "5" "1" "3" "0.2" "5e-04" "2.7" "0.5" "438" 64 23 0.10130114539732 33394 13 176677 6550 199 64 23 42.509465648855 98.706295884839 16.6542307236649 57.7674141885108 24
"81" "_ded_" "22" "9" "4" "1" "14" "0.2" "5e-05" "2.9" "1.2" "482" 196 249 0.0717711221474056 158613 80 167860 7108 199 180 259 156.162211592572 96.6392268836469 14.59649083441 57.7101867231185 24
"82" "_ded_" "23" "10" "4" "1" "3" "1" "5e-05" "1.6" "1.2" "236" 191 842 0.999839803736692 234468 684 228370 228346 199 189 1000 99.4854300053428 129.916666666667 57.5574512095313 44.6492773851324 24
"83" "_ded_" "23" "10" "7" "1" "4" "0.8" "5e-05" "2.2" "0.5" "328" 116 34 0.0851795805452439 95568 19 294316 10389 199 115 36 66.1370680527481 98.0173847503055 46.9167726874345 56.4039838045769 24
